TakeNr;In;Startzeit;Out;Endzeit;Typ;Marker1;Marker2;Bemerkung;Source;Text
;;00;;00;;;;;;
206.0;01:14:18:06;00:14:18:06;01:14:23:03;00:14:23:03;;;;;RICKY;Es war wohl meine Bemerkung über ihre (Zög) römische Rätseltruhe.
;;00;;00;;;;;;
207.0;01:14:23:03;00:14:23:03;01:14:25:00;00:14:25:00;;;;;STEDE;Was? (Winz Zög) Eine römische Rätseltruhe?
;;00;;00;;;;;;
208.0;01:14:13:12;00:14:13:12;01:14:36:21;00:14:36:21;Ü;;;;2 FRAUEN, 2 MÄNNER;(evtl Text) (keine HG Stimmen mehr) (Archiv?)
;;00;;00;;;;;;
209.0;01:14:24:24;00:14:24:24;01:14:31:16;00:14:31:16;;;;;RICKY;Ja. Sie wurde vor allen reingebracht. .. Und diese Bauerntölpel, die erkennen so was niemals. Aber Männer unseres Standes... 
;;00;;00;;;;;;
210.0;01:14:31:16;00:14:31:16;01:14:34:24;00:14:34:24;;;;;RICKY;Wir wissen, wenn wir einen Wertgegenstand vor uns haben.
;;00;;00;;;;;;
211.0;01:14:34:24;00:14:34:24;01:14:36:19;00:14:36:19;;;;;STEDE;Eine römische Rätseltruhe.
;;00;;00;;;;;;
212.0;01:14:36:19;00:14:36:19;01:14:37:19;00:14:37:19;A;;;;;
;;00;;00;;;;;;
213.0;01:14:37:19;00:14:37:19;01:14:41:04;00:14:41:04;;;;;SCHWEDE;Okay. (ATMER) Die Truhe bewahrt Jackie am Fußende ihres Bettes auf. 
;;00;;00;;;;;;
214.0;01:14:41:04;00:14:41:04;01:14:46:20;00:14:46:20;;;;;SCHWEDE;(ATMER) Ich weiß gar nicht, was drin ist, aber (ATMER) sie sagt, es ist von großem Wert.
;;00;;00;;;;;;
214.0;01:14:41:04;00:14:41:04;01:14:46:20;00:14:46:20;;;;;IT;(HG Stimmen) (+ Archiv?)
;;00;;00;;;;;;
215.0;01:14:46:20;00:14:46:20;01:14:50:24;00:14:50:24;;;;;BLACK PETE;Woher wissen wir, dass wir dir trauen können? .. Du bist immerhin Ehemann Nummer 20.
;;00;;00;;;;;;
216.0;01:14:50:05;00:14:50:05;01:14:52:18;00:14:52:18;Ü;;;;ROACH;Komm schon, Mann. Das ist der Schwede.
;;00;;00;;;;;;
216.0;01:14:50:05;00:14:50:05;01:14:52:18;00:14:52:18;Ü;;;;WEE JOHN FEENEY;Oh, Black Pete, also ehrlich.
;;00;;00;;;;;;
216.0;01:14:50:05;00:14:50:05;01:14:52:18;00:14:52:18;Ü;;;;STEDE;(ÜBERL) Black Pete, komm schon.
;;00;;00;;;;;;
217.0;01:14:52:18;00:14:52:18;01:14:57:14;00:14:57:14;;;;;SCHWEDE;Meine Zeit mit Jackie (ATMER) war die glücklichste Phase meines Lebens. 
;;00;;00;;;;;;
218.0;01:14:57:14;00:14:57:14;01:15:01:22;00:15:01:22;;;;;SCHWEDE;(ATMER) Ihre Liebe hat Teile in mir aktiviert, von deren Existenz ich nicht einmal wusste.
;;00;;00;;;;;;
219.0;01:15:01:22;00:15:01:22;01:15:06:03;00:15:06:03;;;;;SCHWEDE;Und ich hab Teile wiedergewonnen, (Zög) die ich lange (Zög) vermisst hatte.
;;00;;00;;;;;;
220.0;01:15:06:03;00:15:06:03;01:15:07:03;00:15:07:03;;;;;ROACH;Oh.
;;00;;00;;;;;;
221.0;01:15:06:21;00:15:06:21;01:15:14:20;00:15:14:20;Ü;;;;SCHWEDE;(INS ON) Aber .. ich stehe in eurer Schuld, lebenslang, (ATMER) und hab die Pflicht, sie zu erfüllen.
;;00;;00;;;;;;
222.0;01:15:14:20;00:15:14:20;01:15:18:03;00:15:18:03;;;;;ROACH;Ein echter Freund.
;;00;;00;;;;;;
222.0;01:15:14:20;00:15:14:20;01:15:18:03;00:15:18:03;;;;;WEE JOHN FEENEY;"Lebenslange Schuld""... Oh, Mann."""
;;00;;00;;;;;;
222.0;01:15:14:20;00:15:14:20;01:15:18:03;00:15:18:03;;;;;BLACK PETE;(ÜBERL) (EVTL REAKTION) (Zustimmender Laut)
;;00;;00;;;;;;
222.0;01:15:14:20;00:15:14:20;01:15:18:03;00:15:18:03;;;;;OLUWANDE;(Zustimmender Laut) Das ist wahr.
;;00;;00;;;;;;
222.0;01:15:14:20;00:15:14:20;01:15:18:03;00:15:18:03;;;;;STEDE;Hört, hört...
;;00;;00;;;;;;
222.0;01:15:14:20;00:15:14:20;01:15:18:03;00:15:18:03;;;;;ROACH;Ja. (Zög) Ja, ja. (INS OFF)
;;00;;00;;;;;;
223.0;01:15:18:03;00:15:18:03;01:15:19:24;00:15:19:24;A;;;;;
;;00;;00;;;;;;
224.0;01:15:19:24;00:15:19:24;01:15:25:14;00:15:25:14;;;;;STEDE;Du bist ein guter Mann, Schwede.
;;00;;00;;;;;;
224.0;01:15:19:24;00:15:19:24;01:15:25:14;00:15:25:14;;;;;SCHWEDE;(REAKTION)
;;00;;00;;;;;;
224.0;01:15:19:24;00:15:19:24;01:15:25:14;00:15:25:14;;;;;STEDE;Ich danke dir. (ANATMER) Würde heute Abend gehen?
;;00;;00;;;;;;
224.0;01:15:19:24;00:15:19:24;01:15:25:14;00:15:25:14;;;;;SCHWEDE;(AUSATMER) 
;;00;;00;;;;;;
225.0;01:15:25:14;00:15:25:14;01:15:32:09;00:15:32:09;;;;;SCHWEDE;In der Tat. (ANATMER) Heute (Zög) bin ich an der Reihe, den ehelichen Pflichten nachzugehen, insofern...
;;00;;00;;;;;;
226.0;01:15:32:09;00:15:32:09;01:15:34:16;00:15:34:16;;;;;STEDE;Okay.
;;00;;00;;;;;;
227.0;01:15:34:16;00:15:34:16;01:15:38:13;00:15:38:13;;;;;IZZY;(VORGEZ TON) Die Crew weigert sich, sich vom Schatz zu trennen.
;;00;;00;;;;;;
227.0;01:15:34:16;00:15:34:16;01:15:38:13;00:15:38:13;;;;;BLACKBEARD;(OFF) Warum?
;;00;;00;;;;;;
228.0;01:15:38:13;00:15:38:13;01:15:41:13;00:15:41:13;;;;;IZZY;Weil es ein verfluchter Schatz ist.
;;00;;00;;;;;;
229.0;01:15:41:13;00:15:41:13;01:15:45:07;00:15:45:07;;;;;BLACKBEARD;Zu schwaches Argument. .. 
;;00;;00;;;;;;
230.0;01:15:45:07;00:15:45:07;01:15:50:23;00:15:50:23;;;;;BLACKBEARD;Das wär dann noch ein Zeh. .. (CONT) Zieh deinen Stiefel aus.
;;00;;00;;;;;;
231.0;01:15:50:23;00:15:50:23;01:15:53:23;00:15:53:23;A;;;;;
;;00;;00;;;;;;
232.0;01:15:53:23;00:15:53:23;01:15:56:23;00:15:56:23;;;;;IZZY;Was bin ich für dich?
;;00;;00;;;;;;
233.0;01:15:56:23;00:15:56:23;01:16:01:08;00:16:01:08;;;;;BLACKBEARD;Was?
;;00;;00;;;;;;
233.0;01:15:56:23;00:15:56:23;01:16:01:08;00:16:01:08;;;;;IZZY;Wir arbeiten seit vielen Jahren zusammen. (Hängt auf Mundschluss) .. (SCHNIEFER) 
;;00;;00;;;;;;
234.0;01:16:01:08;00:16:01:08;01:16:06:02;00:16:06:02;;;;;IZZY;Du kennst mich besser als irgendjemand sonst und ich wage zu sagen, das ist umgekehrt genauso. .. 
;;00;;00;;;;;;
235.0;01:16:06:02;00:16:06:02;01:16:07:19;00:16:07:19;A;;;;;
;;00;;00;;;;;;
236.0;01:16:07:19;00:16:07:19;01:16:12:10;00:16:12:10;;;;;IZZY;Ja, ich .. (INS CONT) liebe dich, Edward.
;;00;;00;;;;;;
237.0;01:16:11:23;00:16:11:23;01:16:14:00;00:16:14:00;Ü;;;;BLACKBEARD;(ÜBERL) Oh Mann. Komm schon.
;;00;;00;;;;;;
238.0;01:16:13:00;00:16:13:00;01:16:20:00;00:16:20:00;Ü;;;;IZZY;(INS CONT) Ich mach mir Sorgen um dich. Das tun wir alle. (ON) Die Atmosphäre auf diesem Schiff ist völlig vergiftet. .. 
;;00;;00;;;;;;
239.0;01:16:20:00;00:16:20:00;01:16:27:17;00:16:27:17;;;;;IZZY;Aber wir können das hinkriegen. (Winz Zög) Reden wir .. im Nu darüber...
;;00;;00;;;;;;
240.0;01:16:27:17;00:16:27:17;01:16:30:06;00:16:30:06;A;;;;;
;;00;;00;;;;;;
241.0;01:16:30:06;00:16:30:06;01:16:32:01;00:16:32:01;;;;;BLACKBEARD;...als Crew. (Anm: Der Satz ist nicht schön, aber leider ist da wenig dran zu rütteln. Das ist ein Zitat aus Staffel 1.)
;;00;;00;;;;;;
242.0;01:16:32:01;00:16:32:01;01:16:35:11;00:16:35:11;A;;;;;
;;00;;00;;;;;;
243.0;01:16:35:11;00:16:35:11;01:16:41:23;00:16:41:23;;;;;IZZY;(OFF) Edward. Ed! Ca-Captain! .. Ich hatte zu keinem Zeitpunkt vor, dem früheren Eigentümer dieses Schiffes eine Stimme zu geben. (INS ON)
;;00;;00;;;;;;
244.0;01:16:40:24;00:16:40:24;01:16:44:13;00:16:44:13;Ü;;;;BLACKBEARD;(ÜBERL) Hallo. .. (CONT) Ganz kurz. .. 
;;00;;00;;;;;;
245.0;01:16:44:13;00:16:44:13;01:16:48:10;00:16:48:10;;;;;BLACKBEARD;Wie ich hörte, empfindet ihr die Stimmung auf dem Schiff als vergiftet. .. 
;;00;;00;;;;;;
246.0;01:16:48:10;00:16:48:10;01:16:50:11;00:16:50:11;A;;;;;
;;00;;00;;;;;;
247.0;01:16:50:11;00:16:50:11;01:16:53:05;00:16:53:05;;;;;BLACKBEARD;(OFF) Ha? Will keiner was sagen? (Zög) (ON) Niemand? .. Hm?
;;00;;00;;;;;;
248.0;01:16:53:05;00:16:53:05;01:16:57:12;00:16:57:12;;;;;BLACKBEARD;Jim... Ich werde mit dir anfangen. .. (OFF) Ist die Stimmung hier vergiftet?
;;00;;00;;;;;;
249.0;01:16:57:12;00:16:57:12;01:16:59:19;00:16:59:19;;;;;JIM;Nope. (2.F.: Kein bisschen.)
;;00;;00;;;;;;
249.0;01:16:57:12;00:16:57:12;01:16:59:19;00:16:59:19;;;;;BLACKBEARD;Hä? Du?
;;00;;00;;;;;;
250.0;01:16:59:19;00:16:59:19;01:17:02:13;00:17:02:13;;;;;ARCHIE;Meinen Sie mich? Äh, nein. Ähm...
;;00;;00;;;;;;
251.0;01:17:02:13;00:17:02:13;01:17:07:09;00:17:07:09;;;;;BLACKBEARD;Fang, du bist am längsten hier. Vergiftet? (INS CONT)
;;00;;00;;;;;;
251.0;01:17:02:13;00:17:02:13;01:17:07:09;00:17:07:09;;;;;FANG;(ÜBERL) (LAUTE)
;;00;;00;;;;;;
251.0;01:17:02:13;00:17:02:13;01:17:07:09;00:17:07:09;;;;;FRENCHIE;(überl) Nein, alles bestens.
;;00;;00;;;;;;
252.0;01:17:07:09;00:17:07:09;01:17:13:07;00:17:13:07;;;;;BLACKBEARD;"Ich weiß, wen wir fragen sollten. Unseren Blackbeard. (Zög) Na, Kumpel? Findest du, die Stimmung auf dem Schiff ist vergiftet?"" (ANATMER)"""
;;00;;00;;;;;;
253.0;01:17:13:07;00:17:13:07;01:17:17:08;00:17:17:08;;;;;BLACKBEARD;"Oh, ich weiß nicht, Blackbeard. (OFF) Vielleicht manchmal 'n kleines bisschen toxisch. """
;;00;;00;;;;;;
254.0;01:17:17:08;00:17:17:08;01:17:21:13;00:17:21:13;;;;;BLACKBEARD;"(OFF) Es ist vielleicht 'n bisschen unangenehm. Du gibst der Crew manchmal ein unangenehmes Gefühl. (INS ON) Sie glauben, du bist verrückt. (Zög) """
;;00;;00;;;;;;
255.0;01:17:21:13;00:17:21:13;01:17:26:05;00:17:26:05;;;;;BLACKBEARD;"(Anatmer) Ich bin nicht verrückt. Ich fühl' mich nicht verrückt. Ich fühl' mich verdammt noch mal gut."" (INS CONT)"""
;;00;;00;;;;;;
256.0;01:17:24:07;00:17:24:07;01:17:27:19;00:17:27:19;Ü;;;;IZZY;(ÜBERL) Jetzt ist gut.
;;00;;00;;;;;;
257.0;01:17:27:19;00:17:27:19;01:17:32:18;00:17:32:18;A;;;;;
;;00;;00;;;;;;
258.0;01:17:32:18;00:17:32:18;01:17:38:03;00:17:38:03;;;;;IZZY;(ANATMER) Die Atmosphäre auf diesem Schiff ist .. beschissen. (2.F.: ...Scheiße.) .. (EVTL LAUTE) 
;;00;;00;;;;;;
259.0;01:17:38:03;00:17:38:03;01:17:41:19;00:17:41:19;;;;;IZZY;(Anatmer) Und alle wissen auch, wieso.
;;00;;00;;;;;;
260.0;01:17:41:19;00:17:41:19;01:17:46:03;00:17:46:03;;;;;BLACKBEARD;Ich nicht. .. Erzähl mal.
;;00;;00;;;;;;
261.0;01:17:46:03;00:17:46:03;01:17:48:08;00:17:48:08;;;;;IZZY;(ANATMER) Deine Gefühle für den scheiß Stede Bonnet. (INS OFF)
;;00;;00;;;;;;
262.0;01:17:48:08;00:17:48:08;01:17:52:15;00:17:52:15;;;;;IZZY; (LAUT)
;;00;;00;;;;;;
262.0;01:17:48:08;00:17:48:08;01:17:52:15;00:17:52:15;;;;;FRENCHIE;(REAKTION)
;;00;;00;;;;;;
262.0;01:17:48:08;00:17:48:08;01:17:52:15;00:17:52:15;;;;;FANG;(REAKTION)
;;00;;00;;;;;;
262.0;01:17:48:08;00:17:48:08;01:17:52:15;00:17:52:15;;;;;2 MÄNNER;(REAKTION)
;;00;;00;;;;;;
262.0;01:17:48:08;00:17:48:08;01:17:52:15;00:17:52:15;;;;;JIM;(REAKTION)
;;00;;00;;;;;;
262.0;01:17:48:08;00:17:48:08;01:17:52:15;00:17:52:15;;;;;IZZY;(SCHREIE)
;;00;;00;;;;;;
263.0;01:17:52:03;00:17:52:03;01:17:58:19;00:17:58:19;Ü;;;;BLACKBEARD;(OFF) Frenchie?
;;00;;00;;;;;;
263.0;01:17:52:03;00:17:52:03;01:17:58:19;00:17:58:19;Ü;;;;FRENCHIE;Ja?
;;00;;00;;;;;;
263.0;01:17:52:03;00:17:52:03;01:17:58:19;00:17:58:19;Ü;;;;BLACKBEARD;Gratuliere, du bist jetzt 1. Offizier.
;;00;;00;;;;;;
263.0;01:17:52:03;00:17:52:03;01:17:58:19;00:17:58:19;Ü;;;;FRENCHIE;Oh, äh, nein, äh... Dafür bin ich nicht qualifiziert.
;;00;;00;;;;;;
264.0;01:17:53:11;00:17:53:11;01:18:10:23;00:18:10:23;Ü;;;;IZZY;(ÜBERL) (LAUTE)
;;00;;00;;;;;;
265.0;01:17:58:20;00:17:58:20;01:18:05:21;00:18:05:21;Ü;;;;BLACKBEARD;Oh, doch, Kumpel. (Zög) Und jetzt mach erst mal den Mist weg. Und ihr anderen, .. (CONT) ihr werft den Scheiß über Bord. (Zög) (ON) Und zieht euch an.
;;00;;00;;;;;;
266.0;01:18:05:21;00:18:05:21;01:18:08:12;00:18:08:12;;;;;FRENCHIE;Äh, Captain... Ich, ich, äh...
;;00;;00;;;;;;
266.0;01:18:05:21;00:18:05:21;01:18:08:12;00:18:08:12;;;;;BLACKBEARD;(ÜBERL) Wir müssen einen Rekord brechen.
;;00;;00;;;;;;
267.0;01:18:08:12;00:18:08:12;01:18:10:19;00:18:10:19;A;;;;;
;;00;;00;;;;;;
268.0;01:18:10:19;00:18:10:19;01:18:15:14;00:18:15:14;;;;;SPANISH JACKIE;(ATMER) (LAUTE)
;;00;;00;;;;;;
268.0;01:18:10:19;00:18:10:19;01:18:15:14;00:18:15:14;;;;;SCHWEDE;(ÜBERL) (ATMER) (LAUTE)
;;00;;00;;;;;;
268.0;01:18:10:19;00:18:10:19;01:18:15:14;00:18:15:14;;;;;SPANISH JACKIE;(OFF) (ÜBERL) Oh mein Gott.
;;00;;00;;;;;;
269.0;01:18:15:14;00:18:15:14;01:18:21:09;00:18:21:09;;;;;SCHWEDE;Du hast aber einen (ATMER) verspannten Rücken. (ATMER) Also, (ATMER) superkrass. (2.F.: Also, (ATMER) die Verspannung ist grässlich.) 
;;00;;00;;;;;;
270.0;01:18:17:19;00:18:17:19;01:18:25:16;00:18:25:16;Ü;01:18:22:15;;;SPANISH JACKIE;(ÜBERL) (ATMER) (LAUTE) (x) Das ist so gut. Nicht aufhören.
;;00;;00;;;;;;
271.0;01:18:21:10;00:18:21:10;01:18:25:17;00:18:25:17;Ü;;;;SCHWEDE;(ATMER) (LAUTE)
;;00;;00;;;;;;
272.0;01:18:25:17;00:18:25:17;01:18:29:19;00:18:29:19;;;;;SCHWEDE;(ÜBERL) (ATMER) Okay.
;;00;;00;;;;;;
272.0;01:18:25:17;00:18:25:17;01:18:29:19;00:18:29:19;;;;;SPANISH JACKIE;(ÜBERL) Weiter.
;;00;;00;;;;;;
272.0;01:18:25:17;00:18:25:17;01:18:29:19;00:18:29:19;;;;;SCHWEDE;Ich würd' vorschlagen, ich fang mit den Kniesehnen an.
;;00;;00;;;;;;
273.0;01:18:29:06;00:18:29:06;01:18:33:16;00:18:33:16;Ü;;;;SPANISH JACKIE;Ja. Besorg's den Kniesehnen.
;;00;;00;;;;;;
273.0;01:18:29:06;00:18:29:06;01:18:33:16;00:18:33:16;Ü;;;;SCHWEDE;Okay.
;;00;;00;;;;;;
273.0;01:18:29:06;00:18:29:06;01:18:33:16;00:18:33:16;Ü;;;;SPANISH JACKIE;Besorg's den Kniesehnen. 
;;00;;00;;;;;;
274.0;01:18:33:16;00:18:33:16;01:18:38:10;00:18:38:10;;;;;SPANISH JACKIE;(Laut) (ATMER) Warum kannst du das eigentlich so gut? (ATMER) (LAUTE)
;;00;;00;;;;;;
275.0;01:18:38:07;00:18:38:07;01:18:48:19;00:18:48:19;Ü;;;;SCHWEDE;(ÜBERL) (ATMER) (LAUTE)
;;00;;00;;;;;;
275.0;01:18:38:07;00:18:38:07;01:18:48:19;00:18:48:19;Ü;;;;SPANISH JACKIE;(ins OFF) (ATMER) (LAUTE)
;;00;;00;;;;;;
276.0;01:18:45:07;00:18:45:07;01:18:51:07;00:18:51:07;Ü;;;;STEDE;(CONT) Komm schon. .. Wir treffen uns mit Olu an den Docks.
;;00;;00;;;;;;
276.0;01:18:45:07;00:18:45:07;01:18:51:07;00:18:51:07;Ü;;;;BLACK PETE;Unfassbar, dass das so gut läuft.
;;00;;00;;;;;;
276.0;01:18:45:07;00:18:45:07;01:18:51:07;00:18:51:07;Ü;;;;ROACH;(ÜBERL) Halt die Klappe!
;;00;;00;;;;;;
276.0;01:18:45:07;00:18:45:07;01:18:51:07;00:18:51:07;Ü;;;;STEDE;(ÜBERL) Schsch...
;;00;;00;;;;;;
277.0;01:18:50:21;00:18:50:21;01:18:55:09;00:18:55:09;Ü;;;;RICKY;(INS CONT) Stede, (Zög) warum dauert das denn so lange?
;;00;;00;;;;;;
277.0;01:18:50:21;00:18:50:21;01:18:55:09;00:18:55:09;Ü;;;;STEDE;Rick... Wir haben gesagt, Sie sollen Schmiere stehen.
;;00;;00;;;;;;
278.0;01:18:54:15;00:18:54:15;01:18:59:02;00:18:59:02;Ü;;;;RICKY;Schmiere stehen? .. Aber hier geht die Action ab.
;;00;;00;;;;;;
279.0;01:18:59:02;00:18:59:02;01:19:00:10;00:19:00:10;;;;;STEDE;Was haben Sie vor?
;;00;;00;;;;;;
280.0;01:18:59:23;00:18:59:23;01:19:07:00;00:19:07:00;Ü;;;;RICKY;"Oh, ich will nur meine Visitenkarte hinterlassen. Ja, das ist der sogenannte Lime Ricky"". .. """
;;00;;00;;;;;;
281.0;01:19:07:00;00:19:07:00;01:19:11:16;00:19:11:16;;;;;RICKY;(OFF) Eine Art kunstvoller Aperitif, (ON) aber absolut unverzichtbar.
;;00;;00;;;;;;
282.0;01:19:11:16;00:19:11:16;01:19:13:15;00:19:13:15;;;;;STEDE;Sie sind wahnsinnig. (Zög) Wir müssen verschwinden.
;;00;;00;;;;;;
283.0;01:19:13:15;00:19:13:15;01:19:16:12;00:19:16:12;;;;;RICKY;Und da funktioniert das nicht mit der ganzen Gentleman-Pirat-Sache. 
;;00;;00;;;;;;
284.0;01:19:16:12;00:19:16:12;01:19:21:09;00:19:21:09;;;;;RICKY;(ANATMER) Dergleichen Details (Winz Zög) sind wichtig, um eine Marke zu etablieren. (INS OFF) (LÄNGER ALS ORIG) ..
;;00;;00;;;;;;
285.0;01:19:21:09;00:19:21:09;01:19:26:23;00:19:26:23;;;;;RICKY;"(INS ON) Die Leute müssen sehen, dass sie von den Besten ausgeraubt wurden. (ANATMER) Sie wurden gerickt""."""
;;00;;00;;;;;;
286.0;01:19:26:23;00:19:26:23;01:19:34:17;00:19:34:17;;;;;SCHWEDE;(CONT) Die Wade ist wohl der geheimnisvollste aller Muskeln. Weißt du, die Spalte...
;;00;;00;;;;;;
286.0;01:19:26:23;00:19:26:23;01:19:34:17;00:19:34:17;;;;;SPANISH JACKIE;(ÜBERL) Scht, Baby. Schnauze! .. Jemand ist an der Bar.
;;00;;00;;;;;;
287.0;01:19:34:17;00:19:34:17;01:19:37:16;00:19:37:16;;;;;SCHWEDE;Was?
;;00;;00;;;;;;
287.0;01:19:34:17;00:19:34:17;01:19:37:16;00:19:37:16;;;;;SPANISH JACKIE;Steh auf, steh auf! (Steh auf!)
;;00;;00;;;;;;
287.0;01:19:34:17;00:19:34:17;01:19:37:16;00:19:37:16;;;;;SCHWEDE;(VERD) (ÜBERL) Jetzt?
;;00;;00;;;;;;
287.0;01:19:34:17;00:19:34:17;01:19:37:16;00:19:37:16;;;;;SPANISH JACKIE;(CONT) Ja!
;;00;;00;;;;;;
287.0;01:19:34:17;00:19:34:17;01:19:37:16;00:19:37:16;;;;;SCHWEDE;(CONT) Ich hol das Messer.
;;00;;00;;;;;;
288.0;01:19:37:16;00:19:37:16;01:19:41:00;00:19:41:00;;;;;RICKY;(LACHER) Ah! (ATMER) (LAUTE)
;;00;;00;;;;;;
288.0;01:19:37:16;00:19:37:16;01:19:41:00;00:19:41:00;;;;;SPANISH JACKIE;(ÜBERL) Wer bist du? .. 
;;00;;00;;;;;;
289.0;01:19:41:00;00:19:41:00;01:19:44:03;00:19:44:03;;;;;SPANISH JACKIE;(CONT) Du? .. Du bestiehlst mich? (Winz Zög) (ON) Schwede, Messer.
;;00;;00;;;;;;
290.0;01:19:43:15;00:19:43:15;01:19:46:11;00:19:46:11;Ü;;;;RICKY;(ÜBERL) (INS ON) Halt, halt! (Zög) Wissen Sie, wer ich bin? Ich bin ein Prinz. (2.F.: Zwergfürst.)
;;00;;00;;;;;;
291.0;01:19:46:11;00:19:46:11;01:19:53:07;00:19:53:07;;;;;SPANISH JACKIE;(LACHER) Ich glaub, ich krieg jetzt 'ne schicke Nase für mein Glas.
;;00;;00;;;;;;
291.0;01:19:46:11;00:19:46:11;01:19:53:07;00:19:53:07;;;;;RICKY;(ÜBERL) (ATMER) (LAUTE) (SCHREI)
;;00;;00;;;;;;
292.0;01:19:53:07;00:19:53:07;01:19:58:17;00:19:58:17;;;;;STEDE;Okay. (ATMER) Wo ist jetzt unser Fluchtkahn?
;;00;;00;;;;;;
292.0;01:19:53:07;00:19:53:07;01:19:58:17;00:19:58:17;;;;;OLUWANDE;Buttons holt ihn grade.
;;00;;00;;;;;;
292.0;01:19:53:07;00:19:53:07;01:19:58:17;00:19:58:17;;;;;STEDE;Okay. .. Äh, warum ist dein Gesicht blau?
;;00;;00;;;;;;
293.0;01:19:58:17;00:19:58:17;01:20:02:23;00:20:02:23;;;;;ROACH;Das (Zög) ist das, wofür wir unser Leben riskieren. .. Blauer Dreck.
;;00;;00;;;;;;
294.0;01:20:02:07;00:20:02:07;01:20:08:20;00:20:08:20;Ü;;;;STEDE;(REAKTION) .. Nein, das ist Indigo. .. (OFF) Feinstes Färbemittel. Es ist ein Vermögen wert.
;;00;;00;;;;;;
295.0;01:20:08:20;00:20:08:20;01:20:13:03;00:20:13:03;;;;;SPANISH JACKIE;(OFF) Sehr richtig. (Zög) (INS ON) Und jetzt gib mir meinen blauen Scheiß zurück, Steve.
;;00;;00;;;;;;
296.0;01:20:10:09;00:20:10:09;01:20:17:00;00:20:17:00;Ü;;;;2 SPANISH JACKIES HUSBANDS;(Unverständl. Durcheinander IT ) (REAKTION) Ja, los. / Gib's zurück. / Na, mach schon. / Oh ja, sonst gibt's Ärger. (usw.) (evtl) (Spitzen)
;;00;;00;;;;;;
297.0;01:20:12:23;00:20:12:23;01:20:18:11;00:20:18:11;Ü;;;;SCHWEDE;(OFF/ON) (ÜBERL) (REAKTION) Ich kann nicht fassen, dass ihr Spanish Jackie bestehlen wolltet. (Zög)
;;00;;00;;;;;;
298.0;01:20:18:11;00:20:18:11;01:20:21:15;00:20:21:15;;;;;SCHWEDE; (OFF) (Anatmer) Wow. (Zög) Sehr böse.
;;00;;00;;;;;;
299.0;01:20:21:15;00:20:21:15;01:20:25:20;00:20:25:20;;;;;STEDE;Jackie, es ist nicht so, wie es aussieht. .. Je nachdem, wonach es für Sie aussieht.
;;00;;00;;;;;;
300.0;01:20:25:20;00:20:25:20;01:20:28:04;00:20:28:04;;;;;SPANISH JACKIE;Es sieht mir nach mehr Nasen für mein Glas aus.
;;00;;00;;;;;;
301.0;01:20:28:04;00:20:28:04;01:20:31:03;00:20:31:03;;;;;ROACH;Nein, nein, nein, nein, nein, nein, nein, nein, nein!
;;00;;00;;;;;;
301.0;01:20:28:04;00:20:28:04;01:20:31:03;00:20:31:03;;;;;STEDE;(EVTL REAKTION)
;;00;;00;;;;;;
301.0;01:20:28:04;00:20:28:04;01:20:31:03;00:20:31:03;;;;;SUSAN;(OFF) Halt!
;;00;;00;;;;;;
302.0;01:20:29:11;00:20:29:11;01:20:39:22;00:20:39:22;Ü;;;;2 SPANISH JACKIES HUSBANDS;(Unverständl. Durcheinander IT) (REAKTIONEN) Was ist 'n jetzt? / Wer ist das? / Die traut sich ja was, das gibt's doch nicht. (usw.) (evtl) (Spitzen)
;;00;;00;;;;;;
303.0;01:20:36:05;00:20:36:05;01:20:38:13;00:20:38:13;Ü;;;;OLUWANDE;Susan?
;;00;;00;;;;;;
303.0;01:20:36:05;00:20:36:05;01:20:38:13;00:20:38:13;Ü;;;;STEDE;Was?
;;00;;00;;;;;;
304.0;01:20:38:13;00:20:38:13;01:20:43:09;00:20:43:09;;;;;SUSAN;Ich möchte es Ihnen abkaufen.
;;00;;00;;;;;;
304.0;01:20:38:13;00:20:38:13;01:20:43:09;00:20:43:09;;;;;SPANISH JACKIE;Bist du nicht die Suppenbitch?
;;00;;00;;;;;;
305.0;01:20:43:09;00:20:43:09;01:20:45:23;00:20:45:23;;;;;SUSAN;(Anatmer) Ich bin die Geldbitch.
;;00;;00;;;;;;
306.0;01:20:45:23;00:20:45:23;01:20:48:03;00:20:48:03;A;;;;;
;;00;;00;;;;;;
307.0;01:20:48:03;00:20:48:03;01:20:49:13;00:20:49:13;;;;;SCHWEDE;(Laut)
;;00;;00;;;;;;
308.0;01:20:49:13;00:20:49:13;01:20:55:20;00:20:55:20;;;;;SUSAN;Reicht das?
;;00;;00;;;;;;
308.0;01:20:49:13;00:20:49:13;01:20:55:20;00:20:55:20;;;;;SPANISH JACKIE;(REAKTION) Nein, Suppenbitch. (Zög) Es reicht tatsächlich nicht.
;;00;;00;;;;;;
308.0;01:20:49:13;00:20:49:13;01:20:55:20;00:20:55:20;;;;;SUSAN;Wie wär's mit dem Doppelten? .. 
;;00;;00;;;;;;
309.0;01:20:55:20;00:20:55:20;01:20:58:11;00:20:58:11;A;;;;;
;;00;;00;;;;;;
310.0;01:20:58:11;00:20:58:11;01:21:02:23;00:21:02:23;;;;;SUSAN;(INS ON) Und die da nehme ich auch.
;;00;;00;;;;;;
310.0;01:20:58:11;00:20:58:11;01:21:02:23;00:21:02:23;;;;;BLACK PETE;(REAKTION)
;;00;;00;;;;;;
